a,b
1545.54000,0.21563
1545.54500,0.21727
1545.55000,0.22385
1545.55500,0.23339
1545.56000,0.24095
1545.56500,0.24259
1545.57000,0.23996
1545.57500,0.23273
1545.58000,0.22648
1545.58500,0.22122
1545.59000,0.21990
1545.59500,0.21990
1545.60000,0.22648
1545.60500,0.23569
1545.61000,0.24194
1545.61500,0.24753
1545.62000,0.24917
1545.62500,0.24819
1545.63000,0.24259
1545.63500,0.23602
1545.64000,0.23240
1545.64500,0.23174
1545.65000,0.23569
1545.65500,0.23996
1545.66000,0.24194
1545.66500,0.24227
1545.67000,0.23865
1545.67500,0.23306
1545.68000,0.22747
1545.68500,0.22319
1545.69000,0.22187
1545.69500,0.22385
1545.70000,0.22845
1545.70500,0.23174
1545.71000,0.23536
1545.71500,0.23898
1545.72000,0.23766
1545.72500,0.23075
1545.73000,0.22319
1545.73500,0.21694
1545.74000,0.21793
1545.74500,0.21957
1545.75000,0.22286
1545.75500,0.22549
1545.76000,0.22648
1545.76500,0.22023
1545.77000,0.20938
1545.77500,0.19491
1545.78000,0.18142
1545.78500,0.18372
1545.79000,0.18767
1545.79500,0.18833
1545.80000,0.18734
1545.80500,0.18208
1545.81000,0.16695
1545.81500,0.14130
1545.82000,0.11630
1545.82500,0.09526
1545.83000,0.07947
1545.83500,0.06894
1545.84000,0.06763
1545.84500,0.08210
1545.85000,0.11597
1545.85500,0.15511
1545.86000,0.18076
1545.86500,0.20083
1545.87000,0.21826
1545.87500,0.23437
1545.88000,0.24654
1545.88500,0.25443
1545.89000,0.25805
1545.89500,0.25871
1545.90000,0.25707
1545.90500,0.25871
1545.91000,0.26134
1545.91500,0.26594
1545.92000,0.26989
1545.92500,0.27614
1545.93000,0.28272
1545.93500,0.28798
1545.94000,0.28765
1545.94500,0.28272
1545.95000,0.27384
1545.95500,0.26989
1545.96000,0.26792
1545.96500,0.27121
1545.97000,0.27614
1545.97500,0.28502
1545.98000,0.29423
1545.98500,0.30146
1545.99000,0.30475
1545.99500,0.30048
1546.00000,0.29357
1546.00500,0.28666
1546.01000,0.28403
1546.01500,0.28535
1546.02000,0.28798
1546.02500,0.29456
1546.03000,0.30081
1546.03500,0.30410
1546.04000,0.30212
1546.04500,0.29620
1546.05000,0.29028
1546.05500,0.28765
1546.06000,0.28502
1546.06500,0.28568
1546.07000,0.28732
1546.07500,0.29423
1546.08000,0.29818
1546.08500,0.30081
1546.09000,0.29686
1546.09500,0.29028
1546.10000,0.28272
1546.10500,0.27614
1546.11000,0.26858
1546.11500,0.26134
1546.12000,0.26331
1546.12500,0.26923
1546.13000,0.26989
1546.13500,0.26463
1546.14000,0.25411
1546.14500,0.24391
1546.15000,0.23273
1546.15500,0.21859
1546.16000,0.20379
1546.16500,0.18767
1546.17000,0.16465
1546.17500,0.13702
1546.18000,0.10709
1546.18500,0.08210
1546.19000,0.06237
1546.19500,0.05382
1546.20000,0.06467
