Sample in Buffer,Sample in Window,TRIGGER,design_1_i/CIS_test_0_o_vsync,design_1_i/CIS_test_0_o_hsync,design_1_i/cis_pclk_1,design_1_i/cis_d_1[7:0],design_1_i/CIS_test_0_o_hsync_cnt[31:0],design_1_i/CIS_test_0_o_pclk_cnt[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
590,590,0,1,1,0,02,6,10358
591,591,0,1,1,0,02,6,10359
592,592,0,1,1,0,02,6,10360
593,593,0,1,1,0,02,6,10361
594,594,0,1,1,0,02,6,10362
595,595,0,1,1,0,02,6,10363
596,596,0,1,1,0,02,6,10364
597,597,0,1,1,0,02,6,10365
598,598,0,1,1,0,02,6,10366
599,599,0,1,1,0,02,6,10367
600,600,0,1,1,0,02,6,10368
601,601,0,1,1,0,02,6,10369
602,602,0,1,1,0,02,6,10370
603,603,0,1,1,0,02,6,10371
604,604,0,1,1,0,02,6,10372
605,605,0,1,1,0,02,6,10373
606,606,0,1,1,0,02,6,10374
607,607,0,1,1,0,02,6,10375
608,608,0,1,1,0,02,6,10376
609,609,0,1,1,1,02,6,10377
610,610,0,1,1,1,02,6,10378
611,611,0,1,1,1,02,6,10379
612,612,0,1,1,1,02,6,10380
613,613,0,1,1,1,02,6,10381
614,614,0,1,1,1,02,6,10382
615,615,0,1,1,1,02,6,10383
616,616,0,1,1,1,02,6,10384
617,617,0,1,1,1,02,6,10385
618,618,0,1,1,1,02,6,10386
619,619,0,1,1,1,02,6,10387
620,620,0,1,1,1,02,6,10388
621,621,0,1,1,1,02,6,10389
622,622,0,1,1,1,02,6,10390
623,623,0,1,1,1,02,6,10391
624,624,0,1,1,1,02,6,10392
625,625,0,1,1,1,02,6,10393
626,626,0,1,1,1,02,6,10394
627,627,0,1,1,1,02,6,10395
628,628,0,1,1,1,02,6,10396
629,629,0,1,1,1,02,6,10397
630,630,0,1,1,1,02,6,10398
631,631,0,1,1,1,02,6,10399
632,632,0,1,1,1,02,6,10400
633,633,0,1,1,1,02,6,10401
634,634,0,1,1,1,02,6,10402
635,635,0,1,1,1,02,6,10403
636,636,0,1,1,1,02,6,10404
637,637,0,1,1,1,02,6,10405
638,638,0,1,1,1,02,6,10406
639,639,0,1,1,1,02,6,10407
640,640,0,1,1,1,02,6,10408
641,641,0,1,1,1,02,6,10409
642,642,0,1,1,1,02,6,10410
643,643,0,1,1,1,02,6,10411
644,644,0,1,1,1,02,6,10412
645,645,0,1,1,1,02,6,10413
646,646,0,1,1,1,02,6,10414
647,647,0,1,1,1,02,6,10415
648,648,0,1,1,1,02,6,10416
649,649,0,1,1,1,02,6,10417
650,650,0,1,1,1,02,6,10418
651,651,0,1,1,1,02,6,10419
652,652,0,1,1,1,02,6,10420
653,653,0,1,1,1,02,6,10421
654,654,0,1,1,1,02,6,10423
655,655,0,1,1,1,02,6,10422
656,656,0,1,1,1,02,6,10423
657,657,0,1,1,0,02,6,10424
658,658,0,1,1,0,02,6,10425
659,659,0,1,1,0,02,6,10426
660,660,0,1,1,0,02,6,10427
661,661,0,1,1,0,02,6,10428
662,662,0,1,1,0,02,6,10429
663,663,0,1,1,0,02,6,10430
664,664,0,1,1,0,02,6,10431
665,665,0,1,1,0,02,6,10432
666,666,0,1,1,0,02,6,10433
667,667,0,1,1,0,02,6,10434
668,668,0,1,1,0,02,6,10435
